original_index,is_outlier,begruendung,zielspalten_bewertet
0,False,"Die Werte sind im Kontext plausibel: Hand Sanitizer für 6.99$ (473mL) ist ein realistischer Preis, besonders während der COVID-19-Pandemie (Juli 2020). Die hohen Engagement-Werte (15445 views, 132 votes, 89 replies) sind für ein stark nachgefragtes Hygieneprodukt in dieser Zeit absolut nachvollziehbar.","['replies', 'views', 'votes', 'price', 'saving']"
1,False,"Ein Coupon-Barcode für RYOBI-Produkte (bekannte Werkzeugmarke) mit 20% Rabatt ist ein attraktiver Deal, der hohe Engagement-Werte rechtfertigt. Die 59.219 Views, 441 Replies und 159 Votes sind für einen beliebten Gutschein-Deal im Home & Garden Bereich plausibel, da solche Coupons oft viral geteilt werden und breites Interesse wecken.","['replies', 'views', 'votes', 'price', 'saving']"
2,False,"Ein kostenloses Brillenangebot (price=0, saving=0) ist ein attraktiver Deal, der hohe Engagement-Werte rechtfertigt. 25.242 Views, 92 Antworten und 54 Votes sind für ein Gratis-Angebot im Apparel-Bereich plausibel und nicht ungewöhnlich.","['replies', 'views', 'votes', 'price', 'saving']"
3,False,"Die Werte sind für ein Fat Tire Bike im mittleren Preissegment plausibel: Der Preis von ~470€ ist realistisch für diese Fahrradkategorie bei Costco, und die Engagement-Werte (1769 Views, 13 Replies, 2 Votes) passen zu einem Nischenprodukt im Sports & Fitness Bereich ohne besondere Ersparnis.","['replies', 'views', 'votes', 'price', 'saving']"
4,False,"Die Werte sind im Kontext plausibel: Ein Cashback-/Bonusprogramm-Deal (60x CT Money) für Reifen und Räder bei Canadian Tire erzeugt erwartbar moderate Engagement-Werte (24 Antworten, 2981 Views, 9 Votes). Preis und Ersparnis sind 0, da es sich um ein Bonusprogramm und nicht um einen direkten Produktpreis handelt, was für solche Deals typisch ist.","['replies', 'views', 'votes', 'price', 'saving']"
5,True,"Die 112.880 Views sind für ein Haarschneideset im Wert von 39,99$ extrem ungewöhnlich hoch, selbst unter Berücksichtigung der COVID-19-Pandemie im April 2020. Während 261 Replies und 27 Votes für diesen Produkttyp noch im Rahmen liegen könnten, ist die View-Zahl unverhältnismäßig und deutet auf eine Anomalie hin.","['replies', 'views', 'votes', 'price', 'saving']"
6,True,"Die Engagement-Werte (280 Antworten, 50.708 Views, 118 Votes) sind für Sandalen im Wert von 27,50€ extrem hoch und ungewöhnlich. Selbst bei 50% Rabatt rechtfertigt dieser Deal nicht annähernd diese außergewöhnliche Community-Aktivität, die eher bei hochpreisigen Elektronik-Deals oder extrem limitierten Angeboten zu erwarten wäre.","['replies', 'views', 'votes', 'price', 'saving']"
7,False,"Die Werte sind für einen Rasenmäher-Deal konsistent: Der Preis von 278€ mit 120€ Ersparnis ist realistisch für ein Markengerät (Ryobi 40V). Die hohen Views (20936) und Replies (157) bei moderaten Votes (27) passen zu einem attraktiven Home & Garden Deal mit längerer Laufzeit (17 Tage), der viel Diskussion generiert.","['replies', 'views', 'votes', 'price', 'saving']"
8,False,"Die Werte sind für ein 9-Gallonen-Aquarium-Komplettset im Kontext plausibel: Der Preis von 99.99$ liegt im erwartbaren Bereich für Fluval-Markenprodukte, und die hohen Views (9571) sowie das starke Engagement (71 Antworten, 29 Votes) deuten auf ein beliebtes Deal-Angebot in der Aquaristik-Community hin. Alle Zielspalten zeigen konsistente, nachvollziehbare Werte ohne extreme Abweichungen.","['replies', 'views', 'votes', 'price', 'saving']"
9,False,"Ein 28"" 4K IPS Monitor von Samsung für ca. 328 CAD liegt im realistischen Preissegment für solche Geräte. Die Engagement-Werte (862 Views, 5 Replies, 0 Votes) sind für einen Elektronik-Deal mit moderatem Interesse typisch und passen zum Kontext.","['replies', 'views', 'votes', 'price', 'saving']"
